time,class_name,file_path,sharpness,brightness,capture_type,save_mode,roi_x,roi_y,roi_size,saved_width,saved_height
2026-06-15 17:57:02,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0001.jpg,29.69,132.95,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:03,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0002.jpg,27.84,137.26,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:04,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0003.jpg,29.73,137.35,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:05,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0004.jpg,29.37,136.76,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:06,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0005.jpg,28.96,136.35,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:07,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0006.jpg,26.45,133.61,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:08,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0007.jpg,26.85,132.01,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:09,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0008.jpg,22.44,124.92,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:10,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0009.jpg,24.34,125.09,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:11,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0010.jpg,15.04,125.61,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:12,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0011.jpg,13.55,125.43,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:13,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0012.jpg,18.20,124.60,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:14,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0013.jpg,16.90,125.38,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:16,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0014.jpg,10.08,124.79,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:17,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0015.jpg,11.68,127.36,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:18,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0016.jpg,11.50,129.07,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:20,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0017.jpg,11.79,129.31,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:21,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0018.jpg,37.89,130.49,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:22,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0019.jpg,29.27,131.06,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:23,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0020.jpg,49.93,131.16,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:24,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0021.jpg,11.79,130.27,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:25,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0022.jpg,10.96,130.20,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:26,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0023.jpg,11.49,134.63,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:28,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0024.jpg,19.69,126.88,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:29,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0025.jpg,11.15,127.24,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:30,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0026.jpg,10.54,125.99,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:31,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0027.jpg,18.86,125.29,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:33,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0028.jpg,11.66,127.09,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:34,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0029.jpg,18.69,128.24,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:35,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0030.jpg,27.14,127.77,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:36,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0031.jpg,16.22,125.87,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:37,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0032.jpg,29.00,126.19,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:38,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0033.jpg,13.69,127.68,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:39,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0034.jpg,10.05,125.95,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:40,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0035.jpg,34.94,126.89,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:41,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0036.jpg,13.53,134.09,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:43,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0037.jpg,25.52,132.03,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:44,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0038.jpg,30.04,126.81,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:45,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0039.jpg,14.95,128.05,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:46,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0040.jpg,26.08,127.08,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:47,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0041.jpg,18.39,126.92,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:48,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0042.jpg,30.61,127.64,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:49,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0043.jpg,14.45,127.19,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:50,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0044.jpg,18.39,127.30,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:51,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0045.jpg,13.75,127.91,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:52,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0046.jpg,28.51,126.97,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:53,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0047.jpg,10.96,127.16,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:54,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0048.jpg,31.78,127.18,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:55,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0049.jpg,12.33,127.31,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:56,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0050.jpg,26.99,126.73,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:57,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0051.jpg,26.60,126.86,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:58,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0052.jpg,30.12,126.85,auto,roi_crop,350,65,558,558,558
2026-06-15 17:57:59,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0053.jpg,15.24,127.03,auto,roi_crop,350,65,558,558,558
2026-06-15 17:58:00,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0054.jpg,29.14,127.45,auto,roi_crop,350,65,558,558,558
2026-06-15 17:58:01,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0055.jpg,25.73,126.65,auto,roi_crop,350,65,558,558,558
2026-06-15 17:58:02,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0056.jpg,20.66,128.62,auto,roi_crop,350,65,558,558,558
2026-06-15 17:58:03,待分拣,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0057.jpg,18.19,128.59,auto,roi_crop,350,65,558,558,558
