epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,lr,improved,bad_epochs,time
1,0.5086191367255216,0.8280151433207139,0.2217741525625881,0.9544303797468354,0.9544303797468354,1,0.0005,1,0,2026-06-24 13:54:25
2,0.20022478507073135,0.9318550567874527,0.15190460323532926,0.9721518987341772,0.9721518987341772,2,0.0005,1,0,2026-06-24 13:54:54
3,0.17047861384972327,0.9388858842617631,0.12403738358635691,0.9620253164556962,0.9721518987341772,2,0.0005,0,1,2026-06-24 13:55:22
4,0.14961343739567584,0.9491617090319091,0.0867413899383826,0.979746835443038,0.979746835443038,4,0.0001|0.0005,1,0,2026-06-24 13:56:09
5,0.06714420157583938,0.9794483504597079,0.06888954665709311,0.9848101265822785,0.9848101265822785,5,0.0001|0.0005,1,0,2026-06-24 13:56:52
6,0.05849358001990841,0.9810708491076258,0.07335657699131613,0.9848101265822785,0.9848101265822785,5,0.0001|0.0005,0,1,2026-06-24 13:57:34
7,0.04978433173913418,0.9789075175770687,0.05818344006886635,0.9873417721518988,0.9873417721518988,7,0.0001|0.0005,1,0,2026-06-24 13:58:17
8,0.04863471497180673,0.9821525148729042,0.0749563276796374,0.9848101265822785,0.9873417721518988,7,0.0001|0.0005,0,1,2026-06-24 13:58:59
9,0.047535215065123995,0.9832341806381828,0.05550323773277111,0.9924050632911392,0.9924050632911392,9,0.0001|0.0005,1,0,2026-06-24 13:59:42
10,0.02181499275614232,0.9945916711736074,0.05501387690699031,0.9873417721518988,0.9924050632911392,9,0.0001|0.0005,0,1,2026-06-24 14:00:25
11,0.028300931845344487,0.9929691725256896,0.03586986580268578,0.9974683544303797,0.9974683544303797,11,0.0001|0.0005,1,0,2026-06-24 14:01:11
12,0.02816474152826631,0.9913466738777718,0.05137273305787593,0.9898734177215189,0.9974683544303797,11,0.0001|0.0005,0,1,2026-06-24 14:01:54
13,0.025725261916320605,0.9913466738777718,0.06016284678464931,0.9898734177215189,0.9974683544303797,11,0.0001|0.0005,0,2,2026-06-24 14:02:37
14,0.018002117690562102,0.9935100054083288,0.05035537085420115,0.9924050632911392,0.9974683544303797,11,0.0001|0.0005,0,3,2026-06-24 14:03:19
15,0.025442318220488036,0.9924283396430503,0.08014314833076185,0.9873417721518988,0.9974683544303797,11,5e-05|0.00025,0,4,2026-06-24 14:04:02
16,0.0183345900195958,0.9929691725256896,0.04878215660679629,0.9949367088607595,0.9974683544303797,11,5e-05|0.00025,0,5,2026-06-24 14:04:44
17,0.02006771945176403,0.9913466738777718,0.046776746111241156,0.9949367088607595,0.9974683544303797,11,5e-05|0.00025,0,6,2026-06-24 14:05:27
18,0.018363002808722335,0.9956733369388859,0.04654240140076477,0.9924050632911392,0.9974683544303797,11,5e-05|0.00025,0,7,2026-06-24 14:06:10
19,0.012740153214847517,0.9967550027041644,0.04811760855028567,0.9898734177215189,0.9974683544303797,11,2.5e-05|0.000125,0,8,2026-06-24 14:06:52
20,0.018087455640308545,0.9935100054083288,0.042493430886559255,0.9949367088607595,0.9974683544303797,11,2.5e-05|0.000125,0,9,2026-06-24 14:07:34
21,0.016076054365178716,0.9962141698215251,0.04192645714145881,0.9949367088607595,0.9974683544303797,11,2.5e-05|0.000125,0,10,2026-06-24 14:08:17
22,0.011701953855047466,0.9962141698215251,0.041878521030351216,0.9949367088607595,0.9974683544303797,11,2.5e-05|0.000125,0,11,2026-06-24 14:08:59
23,0.013476875153409363,0.9956733369388859,0.043920186364355206,0.9949367088607595,0.9974683544303797,11,1.25e-05|6.25e-05,0,12,2026-06-24 14:09:42
